日线	000001	上证指数												
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6	MACD交易.ENTERLONG	MACD交易.EXITLONG
20100430	2867.648926	2875.805908	2820.948975	2870.611084	10807756	103631952	2903.36084	2949.293457	3048.690918	3060.458252	3121.563232	3022.393799	0	0
20100429	2912.196045	2928.929932	2867.937988	2868.431885	11384243	99942728	2925.946045	2975.262207	3062.531494	3066.307617	3123.712646	3020.766846	0	0
20100428	2883.166992	2916.676025	2865.468994	2900.331055	10652059	95519312	2952.156494	3004.916016	3074.564941	3072.375977	3125.760986	3019.138428	0	0
20100427	2962.14502	2962.14502	2866.342041	2907.927979	13342432	124398800	2978.74585	3031.500977	3085.97168	3075.459717	3127.230225	3017.68042	0	0
20100426	2988.076904	2996.827881	2965.832031	2969.50293	11865609	104096144	2993.066895	3056.833252	3096.765137	3077.760254	3127.962646	3016.278809	0	0
20100423	2995.568115	3015.633057	2966.784912	2983.537109	13803224	117602048	2995.22583	3072.809326	3101.275391	3079.223877	3127.887695	3014.416504	0	0
20100422	3021.289063	3023.641113	2978.457031	2999.483887	15553264	136997712	3024.578857	3088.990479	3103.057129	3081.481934	3128.285889	3012.618652	0	0
20100421	2984.61792	3034.326904	2972.095947	3033.278076	14822587	131151400	3057.675293	3100.912842	3105.92334	3083.129883	3128.468994	3010.764893	0	0
20100420	2980.081055	2998.913086	2941.350098	2979.532959	12715942	118165376	3084.256348	3112.407471	3106.915771	3084.325195	3129.104736	3008.740967	0	0
20100419	3096.784912	3096.784912	2977.773926	2980.297119	16008817	153147984	3120.599854	3130.322266	3111.668213	3086.781982	3130.173584	3006.877686	0	1
20100416	3159.672119	3159.672119	3121.365967	3130.302002	10479931	95126168	3150.393066	3148.088379	3116.040771	3088.474121	3130.766357	3004.733398	0	0
20100415	3168.138916	3181.663086	3135.98999	3164.966064	13848737	116473280	3153.4021	3149.799805	3111.830078	3084.909668	3130.268799	3001.731689	0	0
20100414	3161.551025	3167.657959	3145.554932	3166.183105	13934267	114888784	3144.150391	3144.213623	3106.105957	3082.644531	3129.5979	2998.46167	0	0
20100413	3129.691895	3173.634033	3101.48291	3161.250977	18782089	161433776	3140.558105	3140.442139	3097.438721	3079.541748	3128.531738	2995.553467	0	0
20100412	3151.887939	3156.210938	3111.898926	3129.262939	17652001	147730704	3140.044189	3136.696777	3088.223389	3077.094727	3126.993164	2992.587402	0	0
